sequence                         ,obj,  J&F,    J,    F
2024_01_26_cylinder_p6           ,255, 90.5, 95.0, 86.0
2024_06_24_cylinder_afternoon_p16,001, 75.8, 89.6, 62.1
2024_06_25_cylinder_afternoon_p5 ,001, 62.7, 79.1, 46.3
2024_10_10_afternoon_v2_3        ,001, 99.2, 98.5, 99.9
2024_10_10_afternoon_v2_5        ,001, 95.7, 97.4, 94.1
2024_10_14_afternoon_v2_0        ,001, 94.4, 97.5, 91.3
2024_10_14_afternoon_v2_1        ,001, 93.5, 97.1, 89.9
2024_10_14_afternoon_v2_6        ,001, 75.3, 89.2, 61.4
2024_10_14_morning_v4            ,001, 87.6, 95.3, 80.0
2024_10_14_morning_v6_3          ,001, 92.1, 96.0, 88.2
2024_10_14_morning_v7_1          ,001, 77.2, 84.9, 69.5
Global score                     ,   , 85.8, 92.7, 79.0
